,Home Team,Scores,Away Team
0,Atlanta United FC,4 2,Columbus Crew
1,Nashville SC,0 1,Orlando City SC
2,Borussia Dortmund,2 0,Newcastle United
3,Shakhtar Donetsk,1 0,Barcelona
4,AC Milan,2 1,Paris Saint-Germain
5,Atletico Madrid,6 0,Celtic
6,Crvena Zvezda,1 2,RB Leipzig
7,FC Porto,2 0,Antwerp
8,Lazio,1 0,Feyenoord
9,Manchester City,3 0,BSC Young Boys Bern
10,Rotherham United,2 2,Ipswich Town
11,Shrewsbury Town,0 2,Bolton Wanderers
12,Wigan Athletic,2 1,Peterborough United
13,Reading,1 1,Bristol Rovers
14,Colchester United,3 1,Swindon Town
15,St. Johnstone,2 2,Motherwell
16,AFC Wimbledon,2 0,Crystal Palace U21
17,Barrow,2 1,Liverpool U21
18,Cambridge United,4 1,Tottenham Hotspur U21
19,Fleetwood Town,4 0,Leicester City U21
20,Forest Green Rovers,0 0,Brighton and Hove Albion U21
21,Gillingham,0 1,Fulham U21
22,Leyton Orient,1 2,Portsmouth
23,Lincoln City,2 0,Notts County
24,Mansfield Town,0 1,Everton U21
25,Oxford United,5 0,Chelsea U21
26,Doncaster Rovers,2 1,Burton Albion
27,Cheltenham Town,0 4,West Ham United U21
28,Wrexham,2 1,Port Vale
29,Crawley Town,3 2,Aston Villa U21
30,Rangers B,2 4,Airdrieonians
31,Poole Town,2 2,Bracknell Town
32,Coalville Town,0 1,St Ives Town
33,Halesowen Town,1 2,Nuneaton
34,Leamington,2 1,Kettering Town
35,Needham Market,3 0,Berkhamsted
36,Real Salt Lake,1 1,Houston Dynamo
37,Banbury,0 2,Scunthorpe United
38,Bishops Stortford,0 4,Alfreton Town
39,Blyth Spartans,3 3,Southport
40,Farsley,2 0,Boston United
41,Hereford FC,1 0,Brackley Town
42,Peterborough Sports,2 0,Darlington
43,Rushall Olympic,1 2,Kings Lynn Town
44,Scarborough Athletic,1 1,Chorley
45,South Shields,1 0,Buxton
46,Spennymoor Town,1 2,Curzon Ashton
47,Braintree Town,4 0,St Albans
48,Chippenham Town,2 1,Farnborough
49,Dartford,1 2,Chelmsford
50,Dover,2 2,Welling United
51,Maidstone Utd,2 0,Eastbourne Borough
52,Slough,4 0,Truro City
53,Tonbridge Angels,0 0,Hampton & Richmond
54,Torquay United,1 3,Yeovil Town
55,Weymouth,1 5,Bath City
56,Worthing,3 0,Havant and Waterlooville
57,Billericay Town,2 0,Chatham Town
58,Margate,1 1,Haringey Borough
59,Hyde,1 2,Whitby Town
60,Worksop,7 0,Morpeth Town
61,Swindon Supermarine,2 1,Chesham
62,Tottenham Hotspur,1 4,Chelsea
63,Getafe,1 0,Cadiz
64,Frosinone,2 1,Empoli
65,Torino,2 1,Sassuolo
66,SV Werder Bremen Ladies,0 1,Eintracht Frankfurt Ladies
67,Norrkoping,4 3,Varbergs BoIS
68,IFK Gothenburg,1 1,AIK
69,Gornik Zabrze,1 0,Cracovia
70,Brondby,1 1,AGF Aarhus
71,Aalesund,0 3,Sandefjord
72,Panserraikos,2 1,OFI
73,Vancouver Whitecaps,0 1,Los Angeles Football Club
74,SC Farense,2 0,Arouca
75,Aveley,2 1,Hemel Hempstead
76,Nottingham Forest,2 0,Aston Villa
77,Luton Town,1 1,Liverpool
78,Arsenal Women,2 1,Manchester City Women
79,Liverpool Women,2 1,Leicester City Women
80,Tottenham Hotspur Women,1 1,Everton Women
81,West Ham United Women,2 3,Bristol City Women
82,Brighton and Hove Albion Women,2 2,Manchester United Women
83,Norwich City,1 3,Blackburn Rovers
84,Chesterfield,1 0,Portsmouth
85,Kidderminster Harriers,1 2,Fleetwood Town
86,Slough,1 1,Grimsby Town
87,Crewe Alexandra,2 2,Derby County
88,Charlton Athletic,1 1,Cray Valley Paper Mills
89,Dundee,1 0,Livingston
90,Hearts,1 3,Rangers
91,Dundee United Women,0 2,Celtic Women
92,Montrose Women,0 8,Hibernian Women
93,Partick Thistle Women,3 0,Hamilton Academical Women
94,Rangers Women,3 1,Spartans Women
95,Hearts Women,0 0,Glasgow City
96,Motherwell Women,2 5,Aberdeen Women
97,Wolfsburg,2 2,Werder Bremen
98,1. FC Heidenheim 1846,2 0,Stuttgart
99,Alaves,1 0,Almeria
100,Valencia,1 0,Granada
101,Villarreal,2 3,Athletic Bilbao
102,Real Madrid,0 0,Rayo Vallecano
103,Verona,1 3,Monza
104,Cagliari,2 1,Genoa
105,Roma,2 1,Lecce
106,Fiorentina,0 1,Juventus
107,Lyon,1 1,Metz
108,Nantes,0 1,Reims
109,Strasbourg,0 0,Clermont
110,Toulouse,1 2,Le Havre
111,Monaco,2 0,Brest
112,Nice,2 0,Rennes
113,Durham Women,0 1,Sunderland Ladies
114,Birmingham City Women,2 1,Reading Women
115,Blackburn Rovers Ladies,0 3,London City Lionesses
116,Southampton Women,2 1,Sheffield United Women
117,Watford FC Women,0 3,Crystal Palace Women
118,Burnley Ladies,3 1,West Bromwich Albion WFC
119,Derby County Ladies,1 1,Halifax FC Women
120,Liverpool Marshall Feds LFC,3 1,Huddersfield Town Ladies
121,Newcastle United Ladies,5 0,Stourbridge Ladies
122,Nottingham Forest Ladies,2 0,Wolverhampton Wanderers Ladies
123,Cheltenham Town Ladies,0 0,Chatham Town Women
124,Plymouth Argyle Ladies,5 1,London Bees
125,Portsmouth Ladies,3 0,MK Dons Ladies
126,FC Utrecht,1 1,FC Twente
127,NEC Nijmegen,3 3,FC Volendam
128,PEC Zwolle,2 0,Fortuna Sittard
129,Ajax,4 1,Heerenveen
130,Sparta Rotterdam,1 2,Almere City FC
131,Granadilla Tenerife Femenino,2 1,Atlético de Madrid Femenino
